First Name,Gender,Senior Management,Team,Start Date,Last Login Time,Salary,Bonus %
Daniel,Female,true,Client Services,11/03/2017,3:25 PM,123308.0,6.854
Kenneth,Female,false,Engineering,02/02/2014,2:00 PM,101486.0,
Nicholas,Male,false,Distribution,07/14/2019,2:00 PM,53488.0,6.941
Nicholas,Female,false,Human Resources,06/22/2005,10:40 PM,104428.0,
George,Female,false,Finance,10/04/2009,5:50 PM,100290.0,5.447
Edward,Female,false,Engineering,07/01/2002,3:45 AM,100253.0,6.688
Angela,Female,true,Business Development,06/20/2004,7:10 PM,126365.0,6.842
Rebecca,Female,true,Business Development,12/24/2002,6:05 PM,124358.0,11.606
Charles,Male,false,Finance,05/05/2015,6:55 PM,53448.0,7.984
Ronald,Male,false,Legal,01/24/2010,9:25 AM,102642.0,6.152
Lisa,Female,false,Legal,11/16/2007,4:55 AM,101458.0,11.409
Daniel,Female,false,Engineering,07/30/2018,8:45 AM,80496.0,9.899
Paul,Female,false,Marketing,08/08/2016,11:45 PM,81341.0,3.179
Christopher,Female,false,Product,05/19/2013,6:15 AM,93356.0,7.462
Matthew,Male,false,Product,12/16/2019,1:10 PM,81424.0,9.593
Brenda,Male,true,Business Development,04/19/2015,6:35 PM,101200.0,7.305
Shirley,Female,false,Client Services,08/19/2006,2:50 PM,114962.0,8.853
William,Male,false,Product,11/06/2002,11:50 AM,80533.0,2.597
James,Female,false,Client Services,09/07/2009,1:10 PM,97817.0,8.631
Stephen,Female,false,Marketing,12/23/2009,2:05 AM,88439.0,12.347
Deborah,Male,false,Engineering,02/02/2001,1:20 AM,75986.0,10.453
Laura,Female,false,Distribution,01/31/2007,9:15 AM,111060.0,3.967
Joshua,Male,true,Business Development,07/12/2011,9:50 PM,96381.0,7.04
George,Female,true,Marketing,07/08/1997,10:50 AM,117317.0,16.7
Ryan,Male,true,Client Services,11/21/1996,8:15 PM,117869.0,15.336
Stephanie,Male,false,Legal,01/15/2012,6:15 AM,93181.0,8.013
William,Male,false,Engineering,05/10/2001,3:10 PM,99764.0,9.656
Elizabeth,Male,true,Client Services,04/10/1996,7:00 PM,132380.0,8.535
Brian,Male,false,Engineering,04/29/2000,9:55 PM,55567.0,3.038
Michelle,Male,false,Distribution,05/20/2003,6:40 AM,66963.0,16.601
Charles,Male,true,Sales,05/21/2010,1:55 AM,86748.0,7.008
Barbara,Male,false,Sales,02/08/2005,1:05 PM,91600.0,9.461
Jessica,Male,false,Human Resources,08/16/2014,8:00 PM,75930.0,6.893
Shirley,Female,true,Human Resources,05/10/2019,9:05 PM,134159.0,13.125
Sandra,,false,Product,06/14/2008,4:15 AM,117561.0,4.296
Lisa,Male,false,Finance,02/09/2000,1:05 AM,73632.0,5.507
John,Male,false,Marketing,12/04/2004,6:55 AM,77132.0,7.349
Anna,Female,true,Sales,02/11/1998,1:05 AM,68308.0,15.137
Mark,Female,false,Human Resources,04/04/2010,3:55 AM,62512.0,10.55
Joshua,Male,false,Distribution,07/22/2021,7:55 PM,57004.0,3.856
Elizabeth,Male,false,Distribution,01/15/2006,7:20 PM,66846.0,9.997
Sandra,Male,true,Client Services,02/26/2018,8:00 PM,148650.0,14.157
Anna,Female,false,Human Resources,04/05/2018,10:40 PM,53020.0,11.386
Matthew,Female,false,Product,02/07/2014,8:30 AM,83300.0,7.865
Kenneth,Female,true,Marketing,07/08/2009,5:55 PM,129142.0,10.327
Melissa,Female,false,Product,02/24/2023,10:10 PM,100449.0,13.379
John,Female,false,Client Services,10/16/2021,10:30 PM,85435.0,13.67
Kimberly,Female,true,Finance,09/24/2004,5:05 PM,89951.0,10.712
Timothy,Female,false,Sales,07/15/2020,9:55 PM,99684.0,8.594
Anna,Male,false,Client Services,05/26/2009,5:30 AM,93215.0,5.685
Andrew,Female,false,Client Services,11/26/2022,9:30 PM,36037.0,10.15
Anthony,Male,false,Human Resources,06/25/2023,5:35 PM,110346.0,6.784
Robert,Male,false,Client Services,06/01/2001,8:00 PM,90875.0,14.427
Timothy,Male,false,Finance,06/12/2008,10:40 AM,77456.0,7.922
David,Female,true,Human Resources,11/09/2011,11:55 AM,83881.0,13.097
Stephen,Male,true,Legal,11/06/2009,10:10 PM,124957.0,12.14
Joseph,Female,false,Human Resources,08/22/2020,3:20 PM,89277.0,9.536
Nancy,Female,false,Engineering,10/20/2022,3:00 PM,80904.0,7.618
Shirley,Male,false,Marketing,02/02/2017,8:50 PM,92520.0,14.695
Steven,Male,false,Marketing,07/22/2021,8:30 PM,83734.0,11.207
Timothy,Male,false,Distribution,12/12/2017,4:30 AM,58432.0,12.65
Shirley,Female,false,Finance,01/26/2019,3:55 AM,94992.0,7.915
Sharon,Female,false,Sales,04/03/2006,1:55 PM,118210.0,12.291
Michael,Male,false,Business Development,03/16/2006,6:20 AM,84178.0,4.197
Kathleen,Female,false,Sales,08/12/2000,10:50 PM,78191.0,9.618
Stephen,Male,false,Business Development,05/05/2001,9:30 AM,102683.0,12.139
Angela,Female,true,Marketing,01/20/2022,1:05 AM,116093.0,12.781
Jonathan,Female,true,Human Resources,09/18/2009,7:50 PM,89433.0,15.288
William,Male,false,Marketing,10/22/2006,10:35 AM,90798.0,7.24
Sharon,Female,true,Human Resources,04/20/2004,4:35 AM,85107.0,13.724
John,Female,true,Sales,03/01/2022,6:10 PM,103506.0,11.329
,Female,false,Product,11/07/2023,2:25 AM,114157.0,9.262
Emily,Female,false,Finance,11/14/2015,3:35 PM,125524.0,13.308
Jeffrey,Female,false,Sales,10/01/1996,7:45 PM,87823.0,13.135
Eric,Male,false,Human Resources,05/06/2017,3:15 PM,86950.0,11.37
Rebecca,Female,false,Finance,04/30/2007,3:45 PM,84317.0,3.239
Thomas,Female,false,Product,02/20/2005,3:20 AM,84339.0,0.5
Joseph,Female,false,Finance,03/18/1998,2:55 AM,79641.0,9.575
Jeffrey,Male,false,Finance,02/07/2016,6:10 PM,77635.0,11.073
David,Male,true,Legal,12/06/2002,5:15 AM,127956.0,6.749
Steven,Male,false,Product,09/07/2017,1:40 PM,97494.0,6.018
Angela,Male,false,Product,04/08/2000,4:10 AM,97053.0,0.625
Nancy,Female,false,Client Services,11/29/2002,8:05 AM,95978.0,1.009
Brian,Female,false,Product,09/17/1996,10:20 PM,82799.0,1.229
Kimberly,Female,false,Engineering,10/20/2020,7:50 PM,84023.0,12.195
George,Female,false,Marketing,08/04/2008,11:25 AM,88864.0,11.435
William,Female,true,,07/13/2001,4:45 AM,100675.0,15.807
Shirley,Female,false,Client Services,08/25/2006,5:15 PM,109725.0,1.767
Sharon,Female,false,Finance,03/31/2001,4:10 AM,72498.0,5.964
Ryan,Male,false,Marketing,10/04/2014,4:10 PM,94820.0,7.49
Karen,Female,true,Distribution,09/07/2003,4:55 PM,109994.0,6.428
Dorothy,Female,false,Product,08/05/2023,10:40 AM,81330.0,9.195
Brenda,Male,false,Business Development,03/06/2001,4:00 PM,104243.0,9.21
,Male,false,Product,02/20/2016,7:45 PM,81008.0,2.327
Rebecca,Male,true,Client Services,09/01/2000,1:20 PM,100478.0,9.892
Sarah,Female,false,Client Services,12/11/2006,3:20 PM,82223.0,4.263
Kimberly,Male,true,Sales,01/03/2007,11:05 AM,100638.0,12.278
Karen,Male,false,Sales,08/17/2010,7:35 PM,78915.0,7.851
Mark,Male,false,Finance,08/29/2006,10:10 PM,59230.0,5.339
Sarah,Male,false,Client Services,07/28/2007,6:05 PM,83205.0,11.962
Brian,Female,false,Finance,06/19/1996,8:50 PM,62328.0,8.511
Susan,Female,false,Client Services,08/12/1999,10:05 PM,103996.0,8.029
William,Female,false,Marketing,10/17/2018,3:40 AM,75210.0,2.778
Laura,Male,false,Finance,08/25/2009,1:50 PM,75641.0,6.227
Laura,Male,false,Product,08/30/2014,6:30 AM,58170.0,1.841
Jennifer,Male,false,Sales,07/19/1999,11:20 PM,82728.0,14.294
Carol,Female,true,Finance,12/16/2006,2:50 PM,128813.0,10.187
Carol,Female,false,Sales,09/27/2003,5:45 AM,53989.0,9.276
Emily,Female,true,Business Development,03/17/2008,5:55 AM,115546.0,8.262
Betty,Male,false,Legal,10/05/2016,12:50 AM,105868.0,6.128
Jessica,Female,false,Finance,02/18/2020,5:40 AM,90084.0,9.436
Linda,Male,false,Sales,01/26/2018,5:20 AM,60049.0,6.273
George,Female,false,Distribution,06/01/2010,2:25 AM,67632.0,11.587
Richard,Male,false,Business Development,09/07/1996,8:55 AM,86483.0,4.456
Michael,Female,false,Business Development,08/19/2004,7:10 PM,58640.0,3.108
Michael,Male,false,Marketing,07/17/1997,1:00 AM,62793.0,6.148
Stephanie,Female,false,Engineering,07/31/2020,7:35 AM,95345.0,6.192
Jason,Female,false,Legal,12/23/1996,4:25 AM,97359.0,6.64
Jennifer,Male,false,Human Resources,07/29/2004,10:40 PM,73515.0,9.098
Kenneth,Male,true,Legal,02/13/2008,4:35 PM,128281.0,14.347
Brian,Male,false,Finance,11/30/2007,2:05 PM,92373.0,3.883
Michael,Female,false,Human Resources,02/23/1997,6:25 PM,79059.0,10.947
Anna,Male,false,Engineering,05/11/2017,5:50 AM,89661.0,8.252
Joshua,Male,false,Marketing,12/21/2012,5:55 PM,66223.0,4.075
Emily,Female,true,Sales,11/20/2006,12:40 PM,96098.0,14.745
George,Female,false,Distribution,01/30/2012,4:25 AM,47968.0,7.972
Barbara,Male,false,Finance,04/08/2016,5:00 PM,89790.0,6.028
Barbara,Female,false,Client Services,08/29/2000,7:20 AM,77966.0,8.323
Brenda,Male,false,Distribution,07/04/2009,3:45 AM,96972.0,1.092
Linda,Female,false,Product,10/14/2014,6:35 AM,101529.0,11.264
Joshua,Female,false,Sales,12/09/2019,9:55 AM,106919.0,4.921
Anna,Male,false,Legal,01/02/2002,11:25 PM,93728.0,10.615
Amanda,Male,false,Human Resources,11/14/2010,1:30 AM,85067.0,7.095
Stephen,Female,false,Sales,04/19/2007,7:30 AM,97474.0,2.759
Daniel,Male,false,Client Services,01/07/2017,11:30 PM,82767.0,5.755
Mary,Male,false,Human Resources,12/06/2014,1:00 AM,64259.0,7.41
Amanda,Female,true,Finance,08/03/2012,5:25 AM,90889.0,14.084
Ryan,Female,true,Finance,03/06/2000,2:50 PM,113725.0,13.552
Nancy,Female,false,Client Services,05/20/2012,11:55 PM,51361.0,14.331
Lisa,Female,false,Legal,04/12/2016,1:05 AM,81355.0,8.355
Stephanie,Male,false,Product,09/13/2012,3:45 PM,56778.0,11.586
Barbara,Female,false,Engineering,02/24/2015,5:10 AM,77084.0,2.571
Nancy,Male,true,Client Services,11/28/2018,1:55 PM,141624.0,10.045
Angela,Female,false,Finance,05/08/1995,8:45 PM,77092.0,5.268
Donald,Male,true,Finance,12/07/1996,8:00 PM,67810.0,14.089
Edward,Female,false,Client Services,07/23/2015,1:40 AM,51899.0,11.951
Richard,Female,false,Distribution,02/11/2023,3:40 AM,103201.0,1.983
Joseph,Female,false,Engineering,02/09/2010,5:05 PM,118674.0,7.883
Deborah,Female,false,Finance,12/09/2012,11:55 AM,85941.0,0.5
Paul,Female,true,Client Services,06/16/2014,4:50 PM,91906.0,10.697
Laura,Male,false,Product,09/28/1995,8:40 PM,70318.0,11.178
David,Female,false,Client Services,05/12/1998,8:50 AM,69147.0,7.174
Sandra,Male,true,Human Resources,09/23/2010,6:25 AM,96414.0,9.675
Linda,Male,true,Product,11/16/2014,2:15 PM,131944.0,11.26
Joseph,Male,false,Product,05/21/2004,9:45 AM,93091.0,7.118
Jacob,Female,true,Human Resources,12/09/2009,6:20 PM,99929.0,11.868
Karen,Female,true,Distribution,06/09/2012,5:45 AM,130384.0,
David,Female,false,Sales,03/24/1996,8:25 AM,94782.0,3.083
Paul,Male,true,Distribution,04/04/1997,10:05 AM,126581.0,16.72
Andrew,Male,true,Engineering,01/06/2001,1:40 AM,143482.0,8.189
Edward,,false,Engineering,03/06/2016,12:55 PM,101962.0,7.756
Joshua,Female,false,Client Services,02/08/2003,9:50 AM,84976.0,12.579
Kimberly,Male,false,Client Services,10/16/2000,12:20 AM,95356.0,6.381
Stephanie,Male,false,Legal,08/22/2002,12:20 PM,100825.0,5.328
Rebecca,Female,false,Legal,08/13/1996,1:15 PM,89619.0,4.07
Ryan,Male,false,Finance,08/05/1998,10:10 PM,93452.0,6.275
William,Male,false,Human Resources,01/22/2007,5:40 PM,119908.0,8.955
Eric,Female,false,Sales,02/28/2000,10:35 AM,,7.314
Susan,Male,true,Marketing,01/09/2017,5:20 AM,105781.0,10.379
Christopher,Male,false,Legal,11/28/2004,7:15 AM,93133.0,3.962
Daniel,Female,false,Legal,12/04/2021,1:30 AM,88709.0,9.637
Sharon,Male,false,Sales,11/20/2008,9:10 PM,87348.0,10.746
Michael,Male,false,Engineering,09/26/1997,10:55 PM,92090.0,5.502
Jason,Male,false,Marketing,06/08/2016,7:45 PM,66979.0,5.206
Mark,Male,false,Business Development,03/25/1996,3:25 PM,97199.0,7.093
Patricia,Male,false,Business Development,12/21/2019,9:55 PM,96529.0,8.155
Kenneth,Male,false,Legal,07/30/2009,1:05 AM,132626.0,9.478
Barbara,Male,false,Business Development,06/01/2014,11:00 PM,97034.0,5.204
Charles,Male,false,Finance,12/06/1999,5:45 AM,109778.0,6.837
James,Female,false,Client Services,02/11/2006,5:15 PM,60796.0,11.278
Shirley,Male,false,Product,07/01/2002,1:35 AM,71955.0,8.785
Stephanie,Male,false,Client Services,07/01/1998,2:20 PM,72944.0,6.175
Eric,Male,false,Sales,03/16/2008,7:50 AM,101422.0,12.365
,Female,false,Client Services,12/27/2013,10:20 PM,65776.0,4.228
William,Male,true,Finance,01/19/2021,8:15 PM,125903.0,12.611
Rebecca,Female,false,Finance,01/03/2014,10:05 AM,76510.0,8.061
Kimberly,Male,false,Client Services,03/22/2022,8:50 AM,97052.0,4.741
Amanda,Male,false,Human Resources,03/11/2006,4:10 AM,76748.0,7.247
Nancy,Male,false,Legal,12/05/2023,6:00 PM,100811.0,11.783
Ronald,Female,false,Distribution,01/06/2018,8:00 AM,80058.0,11.429
Andrew,Female,true,Engineering,11/13/2007,1:00 PM,106385.0,8.228
Patricia,Female,false,Business Development,11/14/2021,2:25 PM,76516.0,4.151
Donald,Male,false,Sales,04/09/2001,3:50 AM,91339.0,4.229
Jennifer,Female,false,Legal,12/22/2003,4:40 AM,85512.0,7.684
Daniel,Male,false,Client Services,03/11/2023,3:40 AM,54703.0,9.723
Daniel,Female,false,Marketing,11/19/2012,1:50 AM,99045.0,4.372
Donna,Female,false,Product,02/04/2009,8:25 PM,70939.0,8.863
Jason,Male,false,Finance,11/30/2012,11:45 PM,86510.0,7.318
Eric,Male,false,Product,01/23/2000,2:45 AM,56766.0,9.457
William,Female,false,Marketing,08/18/2016,1:15 AM,32000.0,3.527
Cynthia,Male,false,Engineering,06/10/2009,7:30 PM,91303.0,8.969
,Female,false,Engineering,02/07/2001,8:45 PM,109282.0,2.469
Ronald,Male,true,Finance,02/09/2016,10:15 PM,119878.0,19.504
Sharon,Female,true,Legal,09/09/1995,9:00 PM,109079.0,8.979
David,Male,false,Business Development,03/06/2009,12:30 AM,109451.0,10.892
Cynthia,Female,,Marketing,11/06/1997,9:05 PM,93240.0,6.991
Nancy,Male,false,Legal,02/14/2010,6:25 AM,116690.0,8.041
Deborah,Female,true,Legal,05/19/2018,8:10 PM,126988.0,7.343
Brenda,Male,true,Product,07/20/2011,12:05 AM,102244.0,13.421
James,Male,true,Sales,08/19/2019,2:20 PM,87992.0,13.341
Jessica,Male,false,Distribution,06/30/2006,4:30 AM,90101.0,10.28
Kenneth,Female,false,Engineering,11/18/2020,9:45 AM,54492.0,9.134
Eric,Female,false,Legal,08/23/2010,4:50 PM,91328.0,9.681
Linda,Male,true,Legal,11/12/2001,11:30 PM,121733.0,6.648
Robert,Male,false,Business Development,10/23/1997,3:50 AM,38472.0,5.553
Eric,Female,false,Human Resources,09/18/1996,7:50 PM,57746.0,6.19
Jason,Female,false,Marketing,01/15/2012,4:35 AM,106945.0,1.137
Patricia,Male,true,Client Services,01/16/2015,12:20 PM,86318.0,9.858
Laura,Female,false,Finance,01/05/2005,3:35 PM,97423.0,5.559
Donna,Female,false,Marketing,07/30/2012,6:05 PM,94208.0,0.5
Cynthia,Female,true,Human Resources,07/25/2006,2:10 PM,83399.0,15.249
Karen,Female,false,Finance,02/01/2016,10:50 AM,60731.0,7.017
Stephen,Male,true,Sales,02/23/1999,9:10 AM,172758.0,10.441
Dorothy,Male,true,Product,10/23/2004,12:45 AM,133977.0,7.147
Eric,Male,false,Distribution,10/24/2022,4:20 AM,105482.0,8.245
Amanda,Female,false,Finance,08/18/2013,5:40 AM,140517.0,6.684
